One-Way Latency(us): ,Ave(us): ,Std(us): ,Min(us): ,Max(us): ,
3660,3660.0,0.0,3660,3660,
379,2019.5,1640.5,379,3660,
464,1501.0,1527.0378733569992,379,3660,
2230,1683.25,1359.6060780608477,379,3660,
479,1442.4,1307.9976452578192,379,3660,
491,1283.8333333333333,1245.5648540142565,379,3660,
450,1164.7142857142858,1189.51030912313,379,3660,
461,1076.75,1136.7638002241274,379,3660,
486,1011.1111111111111,1087.7124256841303,379,3660,
311,941.1,1053.0529378905885,311,3660,
458,897.1818181818181,1013.6062368127897,311,3660,
129,833.1666666666666,993.4075056200362,129,3660,
420,801.3846153846154,960.764001956579,129,3660,
499,779.7857142857143,929.0848937507909,129,3660,
470,759.1333333333333,900.9014645836074,129,3660,
443,739.375,875.6442538925269,129,3660,
451,722.4117647058823,852.2052403184914,129,3660,
458,707.7222222222222,830.4063132357127,129,3660,
455,694.421052631579,810.2257850221021,129,3660,
447,682.05,791.5493335857217,129,3660,
505,673.6190476190476,773.3926789333245,129,3660,
355,659.1363636363636,758.5202277793343,129,3660,
464,650.6521739130435,742.9139811343163,129,3660,
530,645.625,727.6714467223514,129,3660,
504,639.96,713.5094381996639,129,3660,
167,621.7692307692307,705.5407259516146,129,3660,
453,615.5185185185185,693.0851249289695,129,3660,
464,610.1071428571429,681.1766783234998,129,3660,
454,604.7241379310345,669.9350404202467,129,3660,
467,600.1333333333333,659.1386163437518,129,3660,
440,594.9677419354839,649.0371769197303,129,3660,
468,591.0,639.1973482423093,129,3660,
447,586.6363636363636,629.9218719319817,129,3660,
453,582.7058823529412,620.9997882642324,129,3660,
530,581.2,612.1270549718998,129,3660,
489,578.6388888888889,603.7555683100836,129,3660,
450,575.1621621621622,595.9060561510407,129,3660,
456,572.0263157894736,588.3222124170298,129,3660,
429,568.3589743589744,581.1705026828973,129,3660,
445,565.275,574.1829842262831,129,3660,
475,563.0731707317074,567.3084673130381,129,3660,
502,561.6190476190476,560.5914373562874,129,3660,
296,555.4418604651163,555.479022370974,129,3660,
624,557.0,549.2255291027374,129,3660,
465,554.9555555555555,543.2580297736797,129,3660,
470,553.1086956521739,537.4634154692428,129,3660,
570,553.468085106383,531.7205653533982,129,3660,
576,553.9375,526.1624989111411,129,3660,
504,552.9183673469388,520.8136819394184,129,3660,
211,546.08,517.7966334382639,129,3660,

Overall Results
Length ,Latency_Avg ,Latency_Std,Latency_Min,Latency_Max,Latency_50%,Latency_90%,Latency_99%,Latency_99.99%,Latency_99.9999%,
100,546.08,517.7966334382639,129,3660,464,570,3660,3660,3660,