Packets:,Packets/s:,Packets/s (ave):,Mbps:,Mbps (ave):,Lost,
49547,40856, 40856.0, 1338.7952320000002, 1338.7952320000002, 0, 
89540,37317, 39086.5, 1222.822784, 1280.809008, 0, 
125869,36039, 38070.666666666664, 1180.948016, 1247.5220106666668, 0, 
164309,38116, 38082.0, 1249.015264, 1247.895324, 0, 
203429,38542, 38174.0, 1262.9450319999999, 1250.9052656, 0, 
241782,36646, 37919.333333333336, 1200.837696, 1242.5606706666665, 0, 
280022,37638, 37879.14285714286, 1233.3249839999999, 1241.2412868571425, 0, 
317831,36765, 37739.87500000001, 1204.7197039999999, 1236.6760889999996, 0, 
355790,37021, 37660.00000000001, 1213.131304, 1234.0600017777776, 0, 
394217,36922, 37586.200000000004, 1209.865448, 1231.6405464, 0, 
432370,37010, 37533.818181818184, 1212.746672, 1229.9229214545453, 0, 
472090,37590, 37538.5, 1231.775936, 1230.0773393333334, 0, 
511701,37413, 37528.846153846156, 1225.96728, 1229.7611809230768, 0, 
549660,37288, 37511.64285714286, 1221.877264, 1229.198044, 0, 
590117,37364, 37501.8, 1224.3539680000001, 1228.8751055999999, 0, 
628431,37983, 37531.875, 1244.645976, 1229.8607849999999, 0, 
668030,37238, 37514.58823529412, 1220.24, 1229.2948564705882, 0, 
708433,38574, 37573.444444444445, 1264.0125679999999, 1231.2236182222223, 0, 
748770,39320, 37665.36842105263, 1288.44868, 1234.2354635789472, 0, 
789342,38936, 37728.9, 1275.8703600000001, 1236.3172083999998, 0, 
831270,39466, 37811.619047619046, 1293.232608, 1239.0274655238095, 0, 
872903,40335, 37926.31818181818, 1321.704304, 1242.7855036363635, 0, 
915890,39223, 37982.695652173905, 1285.289872, 1244.6335196521738, 0, 
954680,36526, 37921.99999999999, 1196.9011440000002, 1242.6446706666666, 0, 
994117,38468, 37943.84, 1260.538808, 1243.3604361599998, 0, 
1036801,39011, 37984.88461538461, 1278.3170400000001, 1244.7049209230768, 0, 
1076870,38803, 38015.18518518518, 1271.4971200000002, 1245.6972245925926, 0, 
1116220,38633, 38037.25, 1265.94884, 1246.4204965714287, 0, 
1156162,38265, 38045.10344827586, 1253.893888, 1246.6781997241378, 0, 
1197270,39048, 38078.53333333333, 1279.5559520000002, 1247.7741248, 0, 
1237070,39032, 38109.290322580644, 1279.025864, 1248.7822454193547, 0, 
1277361,38424, 38119.125, 1259.1057520000002, 1249.1048549999998, 0, 
1315860,37735, 38107.48484848485, 1236.5252639999999, 1248.723655272727, 0, 
1358862,39526, 38149.205882352944, 1295.216672, 1250.0910969411761, 0, 
1400260,39157, 38178.0, 1283.1173840000001, 1251.0347051428569, 0, 
1442120,40077, 38230.75, 1313.2599280000002, 1252.7631835555553, 0, 
1483120,38823, 38246.75675675676, 1272.158088, 1253.287370162162, 0, 
1525382,40624, 38309.31578947369, 1331.196648, 1255.3376143157893, 0, 
1567110,38831, 38322.69230769231, 1272.4264480000002, 1255.7757895384616, 0, 
1607711,40275, 38371.50000000001, 1319.747368, 1257.375079, 0, 
1648681,39012, 38387.12195121952, 1278.349696, 1257.8866550243902, 0, 
1691421,39321, 38409.357142857145, 1288.494224, 1258.6154066666668, 0, 
1731340,39522, 38435.232558139534, 1295.082584, 1259.4634805581395, 0, 
1771980,38572, 38438.34090909091, 1263.957304, 1259.565612909091, 0, 
1814070,39676, 38465.84444444445, 1300.111528, 1260.4666332444447, 0, 
1855190,39565, 38489.739130434784, 1296.472672, 1261.2493732173916, 0, 
1898700,40055, 38523.04255319149, 1312.5348000000001, 1262.3405525106384, 0, 
1938460,39252, 38538.229166666664, 1286.2222479999998, 1262.8380878333335, 0, 
1980550,38787, 38543.30612244898, 1270.999816, 1263.004653714286, 0, 
2021230,39503, 38562.5, 1294.4622160000001, 1263.6338049600001, 0, 
2060082,37754, 38546.64705882353, 1237.1423200000002, 1263.1143640784314, 0, 
2102734,39623, 38567.346153846156, 1298.369472, 1263.7923469230768, 0, 
2142560,39149, 38578.32075471698, 1282.84188, 1264.1517720754716, 0, 
2183189,38738, 38581.277777777774, 1269.386288, 1264.2487075555555, 0, 
2222991,39269, 38593.781818181815, 1286.769184, 1264.6581707636362, 0, 
2264100,38901, 38599.267857142855, 1274.7145600000001, 1264.837749142857, 0, 
2307230,39551, 38615.9649122807, 1296.02708, 1265.384930385965, 0, 
2348570,38993, 38622.46551724138, 1277.754304, 1265.5981954482759, 0, 
2390783,40186, 38648.96610169491, 1316.83296, 1266.4665812881356, 0, 
2434030,39468, 38662.61666666666, 1293.3056640000002, 1266.9138993333333, 0, 
2475331,39563, 38677.37704918032, 1296.41272, 1267.3974865573769, 0, 
2514261,38640, 38676.77419354838, 1266.1833840000002, 1267.3779042580643, 0, 
2556080,38923, 38680.68253968253, 1275.4600959999998, 1267.5061930158727, 0, 
2594170,36251, 38642.71874999999, 1187.891568, 1266.2622144999998, 0, 
2634090,39400, 38654.369230769225, 1291.0846399999998, 1266.6440979692306, 0, 
2675021,38691, 38654.92424242424, 1267.841784, 1266.6622447272725, 0, 
2716860,40365, 38680.44776119403, 1322.704288, 1267.498693134328, 0, 
2760280,40226, 38703.17647058824, 1318.143128, 1268.243464235294, 0, 
2802020,39455, 38714.07246376812, 1292.8872, 1268.6006198260868, 0, 
2844440,39623, 38727.05714285715, 1298.392312, 1269.0262154285713, 0, 
2886570,39653, 38740.0985915493, 1299.379952, 1269.4537328450701, 0, 
2927700,39350, 38748.569444444445, 1289.42828, 1269.7311571111109, 0, 
2968940,39410, 38757.6301369863, 1291.401584, 1270.0280122739725, 0, 
3010420,39603, 38769.05405405405, 1297.727704, 1270.4023324324323, 0, 
3051540,39005, 38772.2, 1278.1362239999999, 1270.5054509866666, 0, 
3091402,39097, 38776.47368421053, 1281.135168, 1270.6453156842106, 0, 
3132310,39412, 38784.72727272727, 1291.477272, 1270.9158605714285, 0, 
3175310,39369, 38792.217948717946, 1290.050392, 1271.1611750769232, 0, 
3214820,39106, 38796.189873417716, 1281.45444, 1271.2914695696204, 0, 
3259450,39890, 38809.862499999996, 1307.123432, 1271.7393691000002, 0, 
3302380,39699, 38820.83950617284, 1300.8742, 1272.0990583703706, 0, 
3340680,35864, 38784.78048780488, 1175.19404, 1270.9172898536588, 0, 
3382070,39596, 38794.554216867466, 1297.506064, 1271.2376365301207, 0, 
3422602,39872, 38807.38095238095, 1306.557784, 1271.6581144761906, 0, 
3464917,39075, 38810.5294117647, 1280.4101440000002, 1271.7610795294117, 0, 
3504480,38523, 38807.18604651162, 1262.34976, 1271.6516455813953, 0, 
3545769,39254, 38812.321839080454, 1286.292008, 1271.8199256091955, 0, 
3587190,39835, 38823.94318181818, 1305.337424, 1272.2008062727273, 0, 
3630300,40439, 38842.089887640446, 1325.116456, 1272.7953641348313, 0, 
3670479,39678, 38851.37777777777, 1300.191352, 1273.099764, 0, 
3711676,39265, 38855.92307692307, 1286.644256, 1273.2486045714286, 0, 
3752698,39094, 38858.51086956521, 1281.0542, 1273.333448, 0, 
3794400,39721, 38867.78494623655, 1301.6073119999999, 1273.6374680430106, 0, 
3833760,38750, 38866.5319148936, 1269.792416, 1273.5965632340424, 0, 
3874828,39618, 38874.442105263144, 1298.20328, 1273.855581305263, 0, 
3914537,39063, 38876.406249999985, 1280.038272, 1273.9199843333333, 0, 
3954217,38250, 38869.94845360823, 1253.3852, 1273.708285525773, 0, 
3995856,39597, 38877.36734693876, 1297.5201200000001, 1273.951263428571, 0, 
4037920,40212, 38890.848484848466, 1317.681808, 1274.39298610101, 0, 
4077548,39295, 38894.889999999985, 1287.6394480000001, 1274.5254507199998, 0, 
4118416,38770, 38893.65346534652, 1270.4165679999999, 1274.484768712871, 0, 
4159710,39786, 38902.4019607843, 1303.738768, 1274.7715726274507, 0, 
4199830,39167, 38904.97087378639, 1283.4564639999999, 1274.8558919611648, 0, 
4242693,39164, 38907.461538461524, 1283.335312, 1274.9374248461534, 0, 
4282560,39131, 38909.59047619046, 1282.245384, 1275.0070244571427, 0, 
4323706,39301, 38913.28301886791, 1287.835304, 1275.1280459622637, 0, 
4363550,39186, 38915.83177570092, 1284.070472, 1275.211620037383, 0, 
4406590,40137, 38927.138888888876, 1315.218136, 1275.5820507407402, 0, 
4448230,39246, 38930.06422018347, 1286.0454639999998, 1275.6780453577976, 0, 
4487376,36796, 38910.66363636362, 1205.761512, 1275.0424405090905, 0, 
4527160,39174, 38913.03603603602, 1283.6834, 1275.1202869909905, 0, 
4570660,40168, 38924.24107142856, 1316.256136, 1275.487571357142, 0, 
4614000,39849, 38932.42477876105, 1305.794496, 1275.7557742300876, 0, 
4657120,38935, 38932.44736842104, 1275.84032, 1275.7565158596483, 0, 
4698140,39306, 38935.6956521739, 1287.99452, 1275.862933286956, 0, 
4738190,39656, 38941.905172413775, 1299.4702479999999, 1276.0664446206888, 0, 
4780200,39892, 38950.025641025626, 1307.188936, 1276.3324488205121, 0, 
4821610,39312, 38953.09322033897, 1288.187752, 1276.4329174915247, 0, 
4862521,38162, 38946.44537815124, 1250.498256, 1276.2149791596632, 0, 
4907110,39188, 38948.458333333314, 1284.134728, 1276.280977066666, 0, 
4946860,39407, 38952.247933884275, 1291.2975840000001, 1276.405081256198, 0, 
4985845,38833, 38951.270491803254, 1272.501536, 1276.373084983606, 0, 
5025510,39327, 38954.32520325201, 1288.696016, 1276.473271414634, 0, 
5064570,37837, 38945.31451612901, 1239.855856, 1276.177969677419, 0, 
5104260,38664, 38943.06399999998, 1266.9744240000002, 1276.1043413119996, 0, 
5145040,39283, 38945.76190476188, 1287.229168, 1276.1926335873013, 0, 
5186150,38794, 38944.566929133834, 1271.23172, 1276.1535712755901, 0, 
5225788,38487, 38940.99218749998, 1261.164304, 1276.0364676249997, 0, 
5266000,38202, 38935.26356589145, 1251.830544, 1275.848824806201, 0, 
5307090,39781, 38941.76923076921, 1303.564192, 1276.062019938461, 0, 
5354400,39365, 38944.99999999998, 1289.927384, 1276.1678624122133, 0, 
5394550,39686, 38950.61363636362, 1300.434416, 1276.3516999393935, 0, 
5434046,39300, 38953.24060150374, 1287.796848, 1276.43775368421, 0, 
5473889,39515, 38957.43283582088, 1294.84504, 1276.5751214925367, 0, 
5514019,39788, 38963.58518518517, 1303.78424, 1276.776670518518, 0, 
5555269,39815, 38969.84558823528, 1304.67768, 1276.9818249999994, 0, 
5595010,39573, 38974.24817518247, 1296.750424, 1277.1261213430653, 0, 
5635188,39849, 38980.58695652172, 1305.7800160000002, 1277.333758260869, 0, 
5674668,39156, 38981.84892086329, 1283.086192, 1277.3751426762585, 0, 
5714618,39623, 38986.42857142855, 1298.393224, 1277.525271828571, 0, 
5755447,40484, 38997.04964539005, 1326.608496, 1277.8733798014182, 0, 
5795290,39528, 39000.78873239434, 1295.2574, 1277.9958024788727, 0, 
5835109,39485, 39004.1748251748, 1293.870016, 1278.1068109650344, 0, 
5874248,38825, 39002.93055555553, 1272.224632, 1278.0659624999994, 0, 
5913399,38987, 39002.82068965515, 1277.529232, 1278.0622609103443, 0, 
5953112,39226, 39004.34931506847, 1285.371824, 1278.1123264109585, 0, 
5993179,39729, 39009.27891156461, 1301.8574720000001, 1278.2738580136051, 0, 
6033510,40013, 39016.06081081079, 1311.164736, 1278.4960936756754, 0, 
6073368,39528, 39019.49664429529, 1295.2747120000001, 1278.6087018523488, 0, 
6114130,40477, 39029.21333333332, 1326.355648, 1278.9270148266667, 0, 
6154140,39011, 39029.092715231774, 1278.3438079999999, 1278.9231525298014, 0, 
6194219,39596, 39032.82236842104, 1297.503776, 1279.0453934736843, 0, 
6233940,39554, 39036.22875816992, 1296.123632, 1279.1570159477124, 0, 
6274423,40146, 39043.43506493505, 1315.5267760000002, 1279.3931832207793, 0, 
6315719,38215, 39038.09032258063, 1252.2601599999998, 1279.2181314580646, 0, 
6355969,39936, 39043.84615384614, 1308.624896, 1279.4066363589745, 0, 
6395189,39043, 39043.840764331195, 1279.361608, 1279.4063495541404, 0, 
6434987,39471, 39046.544303797455, 1293.395424, 1279.4948880000002, 0, 
6474580,39264, 39047.91194968552, 1286.634872, 1279.5397935597487, 0, 
6514547,39647, 39051.656249999985, 1299.1596319999999, 1279.66241755, 0, 
6554104,39386, 39053.732919254646, 1290.607696, 1279.7304006459628, 0, 
6594081,39792, 39058.290123456776, 1303.913568, 1279.8796794567904, 0, 
6633700,39316, 39059.87116564416, 1288.338376, 1279.9315733006138, 0, 
6673738,39860, 39064.749999999985, 1306.135896, 1280.091355756098, 0, 
6712989,39088, 39064.89090909089, 1280.840784, 1280.095897745455, 0, 
6753397,40201, 39071.73493975902, 1317.310464, 1280.3200818795185, 0, 
6793019,39330, 39073.281437125734, 1288.771008, 1280.3706862275453, 0, 
6832390,39206, 39074.07142857141, 1284.72848, 1280.3966254761908, 0, 
6871965,39241, 39075.05917159762, 1285.856104, 1280.4289300828407, 0, 
6911580,38836, 39073.65294117646, 1272.608872, 1280.3829297411767, 0, 
6951156,39240, 39074.625730994136, 1285.833768, 1280.4148059883044, 0, 
6990613,39139, 39074.999999999985, 1282.511696, 1280.4269972093027, 0, 
7029739,38964, 39074.358381502876, 1276.78212, 1280.4059285549135, 0, 
7067815,37904, 39067.632183908034, 1242.0516, 1280.1855013793106, 0, 
7107479,39506, 39070.13714285713, 1294.540848, 1280.267531931429, 0, 
7147300,39488, 39072.51136363635, 1293.973504, 1280.3454067727273, 0, 
7186869,39244, 39073.48022598869, 1285.979936, 1280.3772402711868, 0, 
7225862,38612, 39070.88764044943, 1265.2548000000002, 1280.2922827415732, 0, 
7265559,38892, 39069.888268156414, 1274.434704, 1280.2595588379888, 0, 
7305311,39314, 39071.24444444443, 1288.251432, 1280.3039581333333, 0, 
7345220,38943, 39070.5359116022, 1276.093544, 1280.2806961767958, 0, 
7384800,39308, 39071.84065934065, 1288.053128, 1280.323401846154, 0, 
7423802,38680, 39069.6994535519, 1267.4797039999999, 1280.2532177049181, 0, 
7463143,39174, 39070.26630434781, 1283.654944, 1280.2717053478261, 0, 
7502340,39027, 39070.03243243242, 1278.855776, 1280.264051675676, 0, 
7541857,39195, 39070.70430107525, 1284.3421839999999, 1280.2859771182798, 0, 
7580868,38810, 39069.31016042779, 1271.7287039999999, 1280.2402162994654, 0, 
7620434,39273, 39070.39361702126, 1286.904808, 1280.2756662553193, 0, 
7659629,39036, 39070.21164021162, 1279.138224, 1280.2696480423285, 0, 
7699827,40026, 39075.24210526314, 1311.5970479999999, 1280.434529094737, 0, 
7739499,39504, 39077.48691099475, 1294.47704, 1280.508050094241, 0, 
7779150,39323, 39078.765624999985, 1288.541392, 1280.549890416667, 0, 
7818989,39513, 39081.01554404144, 1294.792096, 1280.6236842279798, 0, 
7859148,39738, 39084.40206185566, 1302.1533279999999, 1280.7346617731962, 0, 
7898718,39335, 39085.68717948717, 1288.9527520000001, 1280.7768058256413, 0, 
7939005,40107, 39090.89795918366, 1314.257568, 1280.9476260408169, 0, 
7979270,40094, 39095.989847715726, 1313.8184720000002, 1281.1144831269041, 0, 
8019538,39946, 39100.28282828282, 1308.98024, 1281.2552192727276, 0, 
8060290,40147, 39105.54271356783, 1315.5675039999999, 1281.4276428140706, 0, 
8097990,37337, 39096.7, 1223.468816, 1281.1378486800004, 0, 
8138740,40391, 39103.13930348258, 1323.561304, 1281.3489106467664, 0, 
8179438,39606, 39105.62871287128, 1297.832872, 1281.4305144158418, 0, 
8219428,39432, 39107.236453201964, 1292.1128, 1281.4831365123157, 0, 
8259060,39380, 39108.573529411755, 1290.434848, 1281.5270174509806, 0, 
8299270,39871, 39112.29268292682, 1306.499944, 1281.6488366048786, 0, 
8338850,39414, 39113.757281553386, 1291.52528, 1281.6967805048546, 0, 
8378619,39603, 39116.120772946844, 1297.7222160000001, 1281.7741980676333, 0, 
8418659,39554, 39118.22596153845, 1296.1362, 1281.8432461538466, 0, 
8458655,39668, 39120.85645933013, 1299.846992, 1281.929388478469, 0, 
8499049,40068, 39125.36666666665, 1312.978392, 1282.0772408761907, 0, 
8538628,39406, 39126.69668246443, 1291.288192, 1282.1208946729862, 0, 
8578175,39376, 39127.87264150941, 1290.290424, 1282.1594301886794, 0, 
8617449,39088, 39127.68544600937, 1280.851504, 1282.1532896901408, 0, 
8656678,39081, 39127.46728971961, 1280.62152, 1282.1461318878505, 0, 
8696469,39623, 39129.77209302324, 1298.388392, 1282.221677283721, 0, 
8736493,39692, 39132.374999999985, 1300.653776, 1282.3070110740741, 0, 
8776700,40038, 39136.54838709676, 1311.980848, 1282.4437568663593, 0, 
8816424,39390, 39137.711009174294, 1290.7587919999999, 1282.4818992293576, 0, 
8855967,39375, 39138.79452054793, 1290.263976, 1282.517433826484, 0, 
8896910,40616, 39145.50909090907, 1330.909064, 1282.7373957818181, 0, 
8937329,40221, 39150.37556561084, 1317.968024, 1282.8968103891402, 0, 
8976820,39330, 39151.18468468467, 1288.7867039999999, 1282.9233414414414, 0, 
9016189,39218, 39151.48430493272, 1285.095768, 1282.9330832645737, 0, 
9055966,39439, 39152.76785714284, 1292.3655919999999, 1282.9751926785711, 0, 
9096700,40573, 39159.07999999998, 1329.528048, 1283.1820942577779, 0, 
9137239,40357, 39164.38053097343, 1322.444176, 1283.3558202831857, 0, 
9175178,37782, 39158.29074889866, 1238.052184, 1283.1562447929514, 0, 
9215279,39771, 39160.97807017542, 1303.21936, 1283.2442409122805, 0, 
9253259,36091, 39147.57205240173, 1182.634288, 1282.8048961397378, 0, 
9293380,39784, 39150.33913043477, 1303.661168, 1282.8955755826084, 0, 
9333405,39860, 39153.41125541124, 1306.1370160000001, 1282.9961878787879, 0, 
9372899,39326, 39154.15517241378, 1288.653592, 1283.0205732413795, 0, 
9412440,39008, 39153.5278969957, 1278.235408, 1283.000036051502, 0, 
9458720,37466, 39146.31623931623, 1227.714008, 1282.7637709743587, 0, 
9499589,40550, 39152.28936170212, 1328.7738160000001, 1282.9595583999997, 0, 
9538879,39118, 39152.1440677966, 1281.84664, 1282.9548426440676, 0, 
9578109,38897, 39151.06751054851, 1274.6022560000001, 1282.9195996624471, 0, 
9618566,40137, 39155.210084033606, 1315.2192479999999, 1283.0553124705882, 0, 
9658460,39730, 39157.6150627615, 1301.897096, 1283.1341483849374, 0, 
9697997,39364, 39158.47499999999, 1289.91844, 1283.1624162666667, 0, 
9737900,39551, 39160.10373443983, 1295.979696, 1283.2156, 0, 
9777280,39232, 39160.400826446275, 1285.5547199999999, 1283.225265785124, 0, 
9818348,40726, 39166.84362139917, 1334.542096, 1283.436446156379, 0, 
9859098,40586, 39172.65983606557, 1329.9496000000001, 1283.6270738360658, 0, 
9898398,38978, 39171.86530612245, 1277.240056, 1283.6010043755105, 0, 
9938027,39451, 39173.0, 1292.743136, 1283.6381675121954, 0, 
9977883,39691, 39175.0971659919, 1300.6103759999999, 1283.7068809068826, 0, 
